,Código do Município,Município,Estado,Ano de Referência,Prestador,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX,FN039 - Despesa com esgoto exportado
104,270130,Cajueiro,AL,2016,Serviço Autônomo de Água e Esgoto,17299.0,4939.0,4939.0,53.0,594.54,583.22,583.22,507.0,507.0,4.05,54.15,54.15,49.13,573.0,2045.0,2031562.31,1088806.31,152905.0,143733.62,474687.07,1999181.31,2031562.31,0.0,67124.0,0.0
105,270130,Cajueiro,AL,2015,Serviço Autônomo de Água e Esgoto,17230.0,4876.0,4876.0,50.0,590.69,580.69,580.69,454.0,454.0,3.8,48.5,48.5,44.0,508.0,2032.0,1791422.74,900171.76,181726.9,135557.1,413240.94,1762243.83,1791422.74,0.0,64361.03,0.0
106,270130,Cajueiro,AL,2014,Serviço Autônomo de Água e Esgoto,17172.0,4914.0,4914.0,48.5,595.3,575.3,575.3,469.0,469.0,3.8,50.0,50.0,45.0,508.0,1876.0,1689769.18,984677.97,38509.0,95804.01,445326.95,1663424.08,1689769.18,0.0,26345.1,0.0
107,270130,Cajueiro,AL,2013,Serviço Autônomo de Água e Esgoto,16656.0,5336.0,5336.0,43.02,1250.8,1250.8,825.6,222.0,222.0,2.1,41.0,0.0,0.0,245.0,1210.0,1650536.05,913746.91,102236.5,68165.65,486011.21,1632024.02,1650536.05,0.0,18512.03,0.0
108,270130,Cajueiro,AL,2012,Serviço Autônomo de Água e Esgoto,16656.0,4634.0,4634.0,38.5,1013.8,1013.8,737.9,175.0,175.0,2.1,41.0,0.0,0.0,245.0,1130.0,1503127.4,958082.31,92924.9,71694.39,215000.86,1476140.89,1535898.69,0.0,16592.14,0.0
109,270130,Cajueiro,AL,2011,Serviço Autônomo de Água e Esgoto,16656.0,4248.0,4248.0,34.9,994.8,994.8,844.4,141.0,141.0,2.0,38.0,0.0,0.0,245.0,1116.0,1411568.83,892746.16,69869.43,58190.97,222124.35,1413585.78,1421275.34,0.0,14293.53,0.0
110,270130,Cajueiro,AL,2010,Serviço Autônomo de Água e Esgoto,16484.0,4201.0,4201.0,34.4,992.04,992.04,648.06,242.0,242.0,2.0,0.0,0.0,0.0,245.0,1116.0,1296424.53,720746.87,65756.27,48817.72,245309.23,1224741.64,1230155.14,0.0,13604.05,0.0
111,270130,Cajueiro,AL,2009,Serviço Autônomo de Água e Esgoto,16504.0,4076.0,4076.0,33.0,982.0,982.0,644.0,138.0,138.0,2.0,0.0,0.0,0.0,141.0,980.0,1217640.0,532964.0,80585.0,58136.0,127723.0,961289.0,965289.0,0.0,14880.0,0.0
112,270130,Cajueiro,AL,2008,Serviço Autônomo de Água e Esgoto,16190.0,3912.0,3912.0,29.3,827.6,827.6,642.4,239.0,239.0,2.0,0.0,0.0,0.0,254.0,1116.0,1020689.96,512402.96,84228.21,92109.81,189575.0,884204.69,893138.93,0.0,5888.71,0.0
113,270130,Cajueiro,AL,2007,Serviço Autônomo de Água e Esgoto,15148.0,3787.0,3787.0,29.2,798.0,748.1,625.2,254.0,254.0,0.0,0.0,0.0,0.0,254.0,1016.0,903921.4,456406.01,83250.74,41798.03,205252.63,788963.1,788963.1,0.0,2225.69,0.0
