,Código do Município,Município,Estado,Ano de Referência,Prestador,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX,FN039 - Despesa com esgoto exportado
9679,150670,Santana do Araguaia,PA,2016,BRK Ambiental - Santana do Araguaia S.A.,9.803,2.723,3.812,"55,41","581,99","554,97","376,19",,,,,,,,,"1.457.043,41","326.938,72","70.691,42","151.907,39","94.098,04","691.885,43","1.081.160,95",0,0,
9687,150715,São Domingos do Araguaia,PA,2017,BRK Ambiental - São Domingos do Araguaia S.A.,22.692,6.055,6.075,90,"1.308,00",0,965,,,,,,,,,"2.320.038,05","523.451,14","26.455,97","444.001,34","250.968,51","1.545.988,99","1.767.909,45",0,"7.870,21",
9688,150715,São Domingos do Araguaia,PA,2016,BRK Ambiental - São Domingos do Araguaia S.A.,20.290,5.869,6.590,"96,63","1.223,00",0,"879,18",,,,,,,,,"2.153.535,27","439.149,92","15.807,67","456.670,18","197.504,19","1.317.391,90","1.601.119,00",0,0,
9701,150750,São João do Araguaia,PA,2017,BRK Ambiental - São João do Araguaia S.A.,4.164,1.093,1.098,33,374,281,130,,,,,,,,,"268.420,61","246.988,06","34.643,15","132.413,98","102.314,04","593.820,38","751.443,07",0,0,
9702,150750,São João do Araguaia,PA,2016,BRK Ambiental - São João do Araguaia S.A.,4.272,1.095,1.201,33,262,156,"183,24",,,,,,,,,"305.878,00","94.969,59","29.766,62","60.384,24","68.173,65","323.406,57","476.788,08",0,0,
12007,330240,Macaé,RJ,2019,BRK Ambiental - Macaé S.A.,,,,,,,,36.413,69.406,373,"5.909,00","2.665,00","9.715,00",38.093,182.241,"58.563.326,52","11.386.899,43","410.766,83","1.691.178,48","8.388.461,36","35.641.293,27","55.772.617,74",,"4.561.675,01",0
12008,330240,Macaé,RJ,2018,BRK Ambiental - Macaé S.A.,,,,,,,,5.856,13.762,314,"2.165,67","2.165,67","3.475,63",35.778,46.643,"10.075.450,20","7.919.894,90","319.689,80","1.476.529,71","906.380,84","10.944.720,66","22.062.608,11",,"322.225,41",0
12010,330240,Macaé,RJ,2017,BRK Ambiental - Macaé S.A.,,,,,,,,5.737,13.605,314,"1.421,64","1.421,64","3.495,31",34.861,46.643,"10.970.614,12","6.175.646,62","207.340,75","992.614,21","429.823,65","7.837.439,73","18.829.771,93",,"32.014,50",0
12011,330240,Macaé,RJ,2016,BRK Ambiental - Macaé S.A.,,,,,,,,5.248,9.446,314,"1.393,84","1.393,84","3.031,64",33.625,46.643,"8.666.509,28","6.113.801,59","189.670,09","762.932,03","319.901,75","7.533.659,54","14.360.002,75",,"147.354,08",0
12209,330452,Rio das Ostras,RJ,2019,BRK Ambiental Rio das Ostras S.A,,,,,,,,16.087,21.355,210,"2.326,00","2.326,00",0,16.087,38.594,"18.928.318,00","4.560.214,80","281.486,55",0,"5.336.508,78","19.458.697,91","53.218.348,81",,"786.775,28",0
12212,330452,Rio das Ostras,RJ,2018,BRK Ambiental Rio das Ostras S.A,,,,,,,,16.050,21.347,208,"2.061,00","2.061,00",0,16.050,38.594,"19.616.404,15","4.352.695,62","201.299,34",0,"1.764.519,53","8.241.858,49","41.822.181,79",,"290.494,15",0
12213,330452,Rio das Ostras,RJ,2017,BRK Ambiental Rio das Ostras S.A,,,,,,,,15.353,20.419,208,"1.467,00","1.467,00",0,15.353,36.771,"13.865.595,33","5.421.564,86","137.015,92",0,"3.507.592,89","10.012.915,78","37.061.959,49",,"293.121,48",0
14637,432240,Uruguaiana,RS,2019,BRK Ambiental - Uruguaiana S.A.,126.970,33.670,42.010,"316,06","12.598,94","12.417,02","6.281,04",24.807,32.061,"236,94","3.346,09","3.089,24","4.290,21",29.18,115.810,"50.858.219,00","8.911.634,60","871.554,87","4.047.928,97","3.487.366,00","29.445.733,00","51.962.501,00",0,"4.227.825,00",0
14638,432240,Uruguaiana,RS,2018,BRK Ambiental - Uruguaiana S.A.,127.079,33.307,41.480,"315,05","12.316,07","12.132,20","6.370,37",20.745,27.336,"214,45","3.511,39","3.249,22","4.224,07",26.041,111.744,"47.752.382,11","8.393.105,99","1.063.295,81","3.544.761,52","2.934.578,89","25.814.355,43","44.777.283,21",0,"998.833,38",0
14639,432240,Uruguaiana,RS,2017,BRK Ambiental - Uruguaiana S.A.,126.976,32.946,40.952,"314,84","11.728,37","11.573,22","6.316,09",20.082,26.376,209,"3.254,70","2.527,41","3.896,70",25.344,108.575,"40.912.865,31","9.117.704,09","872.795,40","2.837.932,95","2.522.441,85","24.322.325,35","42.983.712,45",0,"938.339,30",0
14640,432240,Uruguaiana,RS,2016,BRK Ambiental - Uruguaiana S.A.,125.351,32.611,40.391,"314,79","12.220,42","12.076,07","6.202,58",18.027,24.027,"143,39","3.053,04","2.263,40","3.680,75",23.503,101.691,"36.564.978,96","6.878.768,54","1.072.376,70","3.107.211,23","2.967.791,99","22.903.174,68","34.224.679,54",0,"788.669,63",0
